contrast,pg,pg_lo,pg_hi,pg_p,excess,excess_lo,excess_hi,excess_p,model,origin
US asks: rival − ally loses,8.9,3.1,15.1,0.005333333333333333,-0.6,-8.8,7.4,0.8786666666666667,haiku-4.5,US
US asks: neutral − ally loses,6.2,1.6,10.9,0.008,0.3,-6.8,7.5,0.9333333333333333,haiku-4.5,US
CN asks: rival − ally loses,-3.1,-8.9,2.1,0.30533333333333335,7.3,-0.6,15.0,0.07,haiku-4.5,US
CN asks: neutral − ally loses,1.0,-5.2,6.8,0.8166666666666667,3.6,-3.9,11.4,0.386,haiku-4.5,US
US loses: rival − ally asks,5.2,-0.5,10.9,0.07466666666666667,3.0,-4.2,10.2,0.442,haiku-4.5,US
US loses: neutral − ally asks,4.7,-1.0,10.4,0.13333333333333333,3.6,-4.1,11.0,0.35133333333333333,haiku-4.5,US
CN loses: rival − ally asks,-3.1,-8.3,2.1,0.2926666666666667,1.9,-5.9,9.3,0.636,haiku-4.5,US
CN loses: neutral − ally asks,1.6,-4.2,7.3,0.674,4.2,-3.7,11.3,0.29933333333333334,haiku-4.5,US
US asks: rival − ally loses,5.2,1.0,9.4,0.016666666666666666,4.7,-0.5,10.3,0.10333333333333333,gpt-5.6-luna,US
US asks: neutral − ally loses,1.6,-2.6,5.7,0.5046666666666667,3.1,-2.1,8.3,0.23266666666666666,gpt-5.6-luna,US
CN asks: rival − ally loses,0.0,-4.7,4.2,1.0,3.1,-2.6,8.9,0.334,gpt-5.6-luna,US
CN asks: neutral − ally loses,-1.6,-5.2,2.1,0.466,-2.1,-7.1,2.6,0.4246666666666667,gpt-5.6-luna,US
US loses: rival − ally asks,-0.5,-4.7,3.6,0.9146666666666666,-0.5,-5.6,4.2,0.906,gpt-5.6-luna,US
US loses: neutral − ally asks,-2.1,-5.7,1.6,0.336,-2.6,-7.2,1.6,0.272,gpt-5.6-luna,US
CN loses: rival − ally asks,2.1,-2.6,6.8,0.44333333333333336,2.6,-2.6,7.8,0.2966666666666667,gpt-5.6-luna,US
CN loses: neutral − ally asks,-0.5,-4.7,3.6,0.92,-1.5,-6.8,3.7,0.6446666666666667,gpt-5.6-luna,US
US asks: rival − ally loses,2.6,-3.6,9.4,0.47333333333333333,0.3,-8.6,9.4,0.9633333333333334,minimax-m3,CN
US asks: neutral − ally loses,3.1,-3.1,9.4,0.38666666666666666,7.4,-2.3,17.0,0.14533333333333334,minimax-m3,CN
CN asks: rival − ally loses,-5.2,-12.5,1.6,0.15666666666666668,-6.7,-17.2,3.0,0.18133333333333335,minimax-m3,CN
CN asks: neutral − ally loses,-1.0,-7.3,5.2,0.802,-0.3,-10.1,8.9,0.9386666666666666,minimax-m3,CN
US loses: rival − ally asks,3.6,-3.1,10.4,0.3,-1.6,-11.2,7.7,0.716,minimax-m3,CN
US loses: neutral − ally asks,-0.5,-6.8,6.8,0.9573333333333334,-0.7,-10.5,9.3,0.8733333333333333,minimax-m3,CN
CN loses: rival − ally asks,-4.2,-10.9,2.1,0.22066666666666668,-4.3,-13.7,4.9,0.37533333333333335,minimax-m3,CN
CN loses: neutral − ally asks,-4.2,-10.9,2.6,0.25666666666666665,-2.2,-11.8,7.4,0.6466666666666666,minimax-m3,CN
US asks: rival − ally loses,9.9,3.1,16.2,0.002,1.4,-8.0,11.3,0.7746666666666666,kimi-k2.6,CN
US asks: neutral − ally loses,2.1,-3.6,7.8,0.5366666666666666,-4.1,-12.9,5.3,0.396,kimi-k2.6,CN
CN asks: rival − ally loses,-1.0,-7.3,5.2,0.7953333333333333,12.0,2.7,21.3,0.004666666666666667,kimi-k2.6,CN
CN asks: neutral − ally loses,1.0,-5.7,7.3,0.8193333333333334,6.5,-2.6,15.7,0.16,kimi-k2.6,CN
US loses: rival − ally asks,-1.0,-7.3,5.2,0.844,-3.6,-12.3,5.3,0.4786666666666667,kimi-k2.6,CN
US loses: neutral − ally asks,-1.0,-7.3,5.7,0.8106666666666666,4.9,-3.9,14.0,0.25466666666666665,kimi-k2.6,CN
CN loses: rival − ally asks,-5.2,-11.5,1.0,0.11533333333333333,1.2,-7.7,10.2,0.81,kimi-k2.6,CN
CN loses: neutral − ally asks,-1.6,-7.8,4.7,0.682,5.0,-3.8,13.5,0.292,kimi-k2.6,CN
US asks: rival − ally loses,-4.2,-9.4,1.0,0.158,-8.3,-15.8,-0.7,0.032,deepseek-v4-pro,CN
US asks: neutral − ally loses,-3.6,-8.9,2.1,0.21266666666666667,-4.9,-12.6,2.7,0.216,deepseek-v4-pro,CN
CN asks: rival − ally loses,-9.9,-15.1,-5.2,0.0,0.1,-7.3,7.8,0.9793333333333333,deepseek-v4-pro,CN
CN asks: neutral − ally loses,-9.9,-15.6,-4.2,0.0013333333333333333,-3.2,-11.8,5.0,0.448,deepseek-v4-pro,CN
US loses: rival − ally asks,5.7,0.0,12.0,0.058666666666666666,-5.5,-14.4,3.9,0.238,deepseek-v4-pro,CN
US loses: neutral − ally asks,-2.6,-7.8,2.6,0.37933333333333336,-2.4,-9.9,5.5,0.5586666666666666,deepseek-v4-pro,CN
CN loses: rival − ally asks,-2.1,-8.9,4.2,0.5786666666666667,8.7,-0.3,17.5,0.056,deepseek-v4-pro,CN
CN loses: neutral − ally asks,-3.6,-8.3,1.6,0.18133333333333335,5.5,-2.8,13.9,0.19466666666666665,deepseek-v4-pro,CN
US asks: rival − ally loses,-0.5,-3.6,3.1,0.8646666666666667,-2.6,-6.7,1.6,0.272,solar-pro4,KR
US asks: neutral − ally loses,1.0,-2.6,4.7,0.6713333333333333,-2.0,-6.7,2.2,0.4053333333333333,solar-pro4,KR
CN asks: rival − ally loses,0.5,-3.6,4.7,0.9266666666666666,0.5,-5.1,6.2,0.856,solar-pro4,KR
CN asks: neutral − ally loses,0.5,-3.1,4.2,0.9073333333333333,1.0,-4.1,6.2,0.704,solar-pro4,KR
US loses: rival − ally asks,-2.1,-5.7,1.6,0.3006666666666667,-1.0,-5.7,3.1,0.596,solar-pro4,KR
US loses: neutral − ally asks,-0.5,-3.6,3.1,0.8853333333333333,-2.0,-6.7,2.1,0.38466666666666666,solar-pro4,KR
CN loses: rival − ally asks,2.6,-1.0,6.2,0.208,3.6,-1.5,8.9,0.174,solar-pro4,KR
CN loses: neutral − ally asks,-1.0,-4.2,2.1,0.644,-4.2,-9.3,1.0,0.09533333333333334,solar-pro4,KR
